composition,minimum CN_VoronoiNN,maximum CN_VoronoiNN,range CN_VoronoiNN,mean CN_VoronoiNN,avg_dev CN_VoronoiNN,spacegroup_num,crystal_system,crystal_system_int,is_centrosymmetric,n_symmetry_ops,density,vpa,packing fraction
Mo3Sb7I0.75,11.999999999999481,11.999999999999492,1.0658141036401503e-14,11.999999999999488,2.434266779918862e-15,1,triclinic,7,False,1,9.001401495118438,21.120742468954315,0.6001461019388756
Mo3Sb7I1.25,11.999999999999483,11.999999999999492,8.881784197001252e-15,11.999999999999488,2.105311809659556e-15,1,triclinic,7,False,1,9.126579290080779,21.039716683034882,0.6002111062334737
Mo3Sb7I1.5,11.999999999999478,11.99999999999949,1.2434497875801753e-14,11.999999999999485,2.8290127442300285e-15,1,triclinic,7,False,1,9.176867558430441,20.958898412006967,0.6002706697753376
Mo3Sb7I,11.99999999999948,11.99999999999949,1.0658141036401503e-14,11.999999999999485,1.907938827503973e-15,1,triclinic,7,False,1,9.076586700553221,21.120742468954315,0.6001461019388756
Mo3Sb7,7.860108072629344,10.394347683242584,2.5342396106132403,9.5496011463715,1.1263287158281043,2,triclinic,7,True,2,8.91219623830266,21.28341757612592,0.5999999996425086
Mo3Te4,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507513,194,hexagonal,2,True,192,6.113742171984032,30.357585667201587,0.3996380200652082
Mo6Te6S2,11.008524522970818,12.144801723712721,1.1362772007419029,11.553246175290026,0.36843450710110653,6,monoclinic,6,False,2,7.228765659850401,22.931785250728392,0.4892287731937749
Mo6Te7S,11.008524522970818,12.144801723712721,1.1362772007419029,11.553246175290026,0.36843450710110653,6,monoclinic,6,False,2,7.708058431341209,22.931785250728392,0.4978653112872827
Na0.02Pb0.98Te0.75Se0.25_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507515,6,monoclinic,6,False,8,8.824093112503034,30.357585667201587,0.5705692750274977
Na0.02Pb0.98Te0.75Se0.25_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.64611314453031,9.660429608065192,0.014316463534882473,9.653267510472439,0.0071438113944269355,6,monoclinic,6,False,8,9.938909505132784,26.952470234267967,0.6426537343392713
Na0.02Pb0.98Te0.85Se0.15_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507515,8,monoclinic,6,False,4,8.99037902287998,30.357585667201587,0.5811173265001084
Na0.02Pb0.98Te0.85Se0.15_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.646113141840967,9.660429605469917,0.01431646362894945,9.653267507830119,0.00714381144145948,8,monoclinic,6,False,4,9.82955662472757,27.76587101407083,0.6353598276453188
Na0.02Pb0.98Te_generalized_grouping_grouped_from_agm002068072_rank_3,7.80451602453066,10.247049694187456,2.4425336696567967,9.025762053454843,1.2212393778507513,194,hexagonal,2,True,192,9.156664933256929,30.357585667201587,0.5916653779727193
Na0.02Pb0.98Te_generalized_grouping_grouped_from_oqmd-5395345_rank_2,9.646113139204152,9.660429602925337,0.014316463721185002,9.653267505239409,0.00714381148757276,194,hexagonal,2,True,192,9.720917219408792,28.595474466360468,0.6281249999629789
NaCo2O4,11.999999999999483,11.999999999999492,8.881784197001252e-15,11.999999999999488,2.3684757858670005e-15,1,triclinic,7,False,1,3.907976901296665,12.643683796219928,0.5675084679786371
Nb0.03Ag0.97BiSe20.8PbS0.2,11.999999999999476,11.99999999999952,4.440892098500626e-14,11.999999999999496,1.0350239184238793e-14,1,triclinic,7,False,1,10.84298786887994,18.095952111175198,0.6594987467101736
Nb0.05Ag0.95BiSe20.8PbS0.2,11.999999999999478,11.999999999999492,1.4210854715202004e-14,11.99999999999949,4.991562718714704e-15,1,triclinic,7,False,1,10.821077404138856,18.20815770681444,0.6604444867424609
Nb0.75Ta0.25CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893486,9.971817977428948,1.971817977535462,9.314545318200231,0.8763635455378301,44,orthorhombic,5,False,4,7.601327249329326,21.331375935662052,0.5601466416473586
Nb0.75Ta0.25CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,44,orthorhombic,5,False,4,6.483912538236226,25.007550334653875,0.47780364058772407
Nb0.75Ta0.25CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430432157311,13.164159280982522,3.584728848825211,10.774342207764112,1.5932093533522174,8,monoclinic,6,False,4,8.168981541806309,19.84908012530314,0.6019774476524209
Nb0.85Ta0.15CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.971817977428946,1.971817977535462,9.314545318200231,0.8763635455378306,160,trigonal,3,False,6,7.315761300846392,21.331375935662052,0.5601466416473586
Nb0.85Ta0.15CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,24,6.240325520715677,25.007550334653875,0.47780364058772407
Nb0.85Ta0.15CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430432157311,13.164159280982522,3.584728848825211,10.774342207764112,1.5932093533522174,8,monoclinic,6,False,4,7.862090010155528,19.84908012530314,0.6019774476524209
Nb0.8Ta0.2CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893486,9.971817977428948,1.971817977535462,9.314545318200231,0.8763635455378301,44,orthorhombic,5,False,4,7.601327249329326,21.331375935662052,0.5601466416473586
Nb0.8Ta0.2CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,44,orthorhombic,5,False,4,6.483912538236226,25.007550334653875,0.47780364058772407
Nb0.8Ta0.2CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430432157311,13.164159280982522,3.584728848825211,10.774342207764112,1.5932093533522174,1,triclinic,7,False,1,8.015535775980918,19.84908012530314,0.6019774476524209
Nb0.95Ta0.05CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893486,9.971817977428948,1.971817977535462,9.314545318200233,0.8763635455378299,216,cubic,1,False,24,7.030195352363462,21.331375935662052,0.5601466416473586
Nb0.95Ta0.05CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989332,9.971811232772206,1.9718112327828736,9.314540821839282,0.876360547899966,216,cubic,1,False,24,5.99673850319513,25.007550334653875,0.47780364058772407
Nb0.95Ta0.05CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430432157311,13.164159280982522,3.584728848825211,10.774342207764112,1.5932093533522174,8,monoclinic,6,False,2,7.708644244330137,19.84908012530314,0.6019774476524209
Nb0.9Ta0.1CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.971817977428946,1.971817977535462,9.314545318200231,0.8763635455378306,160,trigonal,3,False,6,7.315761300846392,21.331375935662052,0.5601466416473586
Nb0.9Ta0.1CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5473064_rank_2,7.999999999989333,9.971811232772206,1.9718112327828727,9.314540821839282,0.8763605478999651,216,cubic,1,False,24,6.240325520715677,25.007550334653875,0.47780364058772407
Nb0.9Ta0.1CoSn0.9Sb0.1_generalized_grouping_grouped_from_oqmd-5757776_rank_1,9.579430432157311,13.164159280982522,3.584728848825211,10.774342207764112,1.5932093533522174,8,monoclinic,6,False,4,7.862090010155528,19.84908012530314,0.6019774476524209
NbCo0.92Ni0.08Sn_generalized_grouping_grouped_from_oqmd-3241062_rank_3,7.999999999893484,9.971817977428948,1.9718179775354638,9.314545318200231,0.876363545537831,216,cubic,1,False,24,7.019524777356338,21.331375935662052,0.5601466416473586
